os,headphone jack,display design,screen panel,screen size,cameras,performance,battery size,expandable memory,fluid display,screen resolution,mimimum storage,water resistance
Android,no,hole,OLED,5,2,powerful,3,no,no,2,256,no
Android,no,hole,OLED,4,4,powerful,1,yes,yes,1,128,yes
Android,no,hole,OLED,4,4,powerful,2,yes,yes,1,128,yes
Android,no,hole,OLED,3,3,powerful,2,yes,yes,1,128,yes
Android,yes,hole,OLED,4,3,powerful,2,yes,no,2,128,no
Android,no,hole,OLED,4,3,powerful,2,yes,no,2,128,no
Android,yes,hole,OLED,3,3,powerful,3,yes,no,1,128,yes
iOS,no,notch,OLED,2,3,powerful,3,no,no,2,64,yes
Android,no,bezel-free,OLED,4,3,powerful,2,no,yes,1,256,no
Android,no,notch,OLED,4,4,powerful,2,yes,no,2,128,yes
Android,no,hole,OLED,4,4,powerful,2,yes,no,1,256,yes
Android,no,hole,OLED,3,3,powerful,3,no,no,2,256,yes
Android,yes,hole,OLED,4,3,powerful,2,yes,no,1,128,yes
Android,yes,hole,OLED,2,2,powerful,3,yes,no,2,128,yes
Android,no,notch,OLED,4,3,powerful,3,no,yes,2,128,no
iOS,no,notch,OLED,4,3,powerful,3,no,no,2,64,yes
iOS,no,notch,LCD,3,2,powerful,3,no,no,3,64,yes
Android,no,bezel,OLED,3,2,powerful,3,no,yes,1,64,yes
Android,no,bezel,OLED,2,2,powerful,4,no,yes,2,64,yes
Android,yes,bezel,OLED,2,1,midrange,3,no,no,2,64,no
Android,yes,bezel,OLED,2,1,midrange,4,no,no,2,64,no
Android,yes,bezel,OLED,4,2,powerful,1,no,yes,2,128,no
Android,yes,bezel-free,LCD,4,2,powerful,1,yes,no,2,64,no
Android,yes,notch,OLED,4,5,midrange,1,no,no,2,256,no
Android,yes,notch,OLED,4,5,midrange,1,no,no,2,128,no
Android,no,notch,OLED,5,3,powerful,2,no,no,1,256,no
Android,no,bezel-free,OLED,5,4,powerful,2,yes,no,1,256,no
Android,yes,notch,OLED,4,3,powerful,2,yes,no,2,128,yes
Android,yes,notch,LCD,3,3,midrange,3,yes,no,2,128,no
Android,yes,notch,OLED,3,3,powerful,3,yes,no,2,64,yes
Android,yes,bezel-free,OLED,4,3,powerful,2,no,no,2,64,no
Android,yes,notch,LCD,3,4,midrange,2,yes,no,2,32,no
Android,yes,notch,OLED,3,2,powerful,3,yes,no,1,128,yes
Android,yes,notch,OLED,4,2,powerful,4,yes,no,2,128,yes
